PERMNO,date,prc
57665,20040702,75.31
57665,20040706,74.97
57665,20040707,75.16
57665,20040708,73.86
57665,20040709,74.49
57665,20040712,74.11
57665,20040713,73.9
57665,20040714,72.75
57665,20040715,73.21
57665,20040716,73.5
57665,20040719,72.49
57665,20040720,72.6
57665,20040721,71.67
57665,20040722,71.44
57665,20040723,70.27
57665,20040726,69.96
57665,20040727,70.75
57665,20040728,70.8
57665,20040729,72.9
57665,20040730,72.71
57665,20040802,73.64
57665,20040803,72.7
57665,20040804,73.1
57665,20040805,71.06
57665,20040806,69.31
57665,20040809,69.97
57665,20040810,70.86
57665,20040811,70.32
57665,20040812,69.57
57665,20040813,69.69
57665,20040816,71.8
57665,20040817,71.6
57665,20040818,72.98
57665,20040819,73.65
57665,20040820,74.26
57665,20040823,73.94
57665,20040824,74.47
57665,20040825,75.05
57665,20040826,75.96
57665,20040827,75.95
57665,20040830,74.73
57665,20040831,75.31
57665,20040901,76.08
57665,20040902,76.68
57665,20040903,76.81
57665,20040907,77.2
57665,20040908,77.35
57665,20040909,74.93
57665,20040910,75.65
57665,20040913,75.53
57665,20040914,75.68
57665,20040915,76.3
57665,20040916,77
57665,20040917,76.56
57665,20040920,78
57665,20040921,79.35
57665,20040922,78.96
57665,20040923,79.09
57665,20040924,79.7
57665,20040927,79.3
57665,20040928,79.7
57665,20040929,78.53
57665,20040930,78.8
57665,20041001,79.88
57665,20041004,79.78
57665,20041005,79.69
57665,20041006,80.07
57665,20041007,79.61
57665,20041008,79.09
57665,20041011,79.07
57665,20041012,78.03
57665,20041013,77.58
57665,20041014,77.37
57665,20041015,78.1
57665,20041018,79.9
57665,20041019,80.27
57665,20041020,79.65
57665,20041021,80.79
57665,20041022,79.11
57665,20041025,79.92
57665,20041026,80.78
57665,20041027,81.5
57665,20041028,81.11
57665,20041029,81.31
57665,20041101,81.6
57665,20041102,82.24
57665,20041103,83.07
57665,20041104,85.37
57665,20041105,86.12
57665,20041108,84.62
57665,20041109,84.81
57665,20041110,84.3
57665,20041111,84.99
57665,20041112,86.4
57665,20041115,86.43
57665,20041116,85.48
57665,20041117,85.99
57665,20041118,85
57665,20041119,82.5
57665,20041122,83.74
57665,20041123,84.84
57665,20041124,85.43
57665,20041126,85.09
57665,20041129,85.74
57665,20041130,84.66
57665,20041201,86.55
57665,20041202,86.7
57665,20041203,86.72
57665,20041206,86.66
57665,20041207,85.82
57665,20041208,86.7
57665,20041209,87.52
57665,20041210,87
57665,20041213,87.05
57665,20041214,86.53
57665,20041215,85.85
